CaseID,Utterance,Split,Noise,NominalSNR_dB,Method,InputSNR_dB,OutputSNR_dB,SNRImprovement_dB,STOI,Runtime_s,NoiseVariation_dB,PeakAbsolute,ProxySpeechMissFraction,ProxyNonSpeechFalseAlarmFraction,UpdateOnSpeechProxyFraction,NoiseUpdateFraction
sp01_street_15dB,sp01,development,street,15,vad,14.4327733611192,17.9314997914937,3.49872643037447,0.912030472099899,0.024537,6.36323830671735,0.343968174379613,0.046242774566474,0.735849056603774,0.046242774566474,0.178438661710037
sp06_car_0dB,sp06,evaluation,car,0,unprocessed,-0.567380096376024,-0.567380096376024,0,0.702054327232958,NaN,2.30750039047582,0.454925537109375,NaN,NaN,NaN,NaN
sp06_car_0dB,sp06,evaluation,car,0,fixed,-0.567380096376024,6.00050046951415,6.56788056589018,0.693987943046528,0.022211,2.30750039047582,0.332857216231971,0.572289156626506,0,0,0
sp06_car_0dB,sp06,evaluation,car,0,vad,-0.567380096376024,5.56976107735115,6.13714117372717,0.695068392358484,0.021293,2.30750039047582,0.33497307955138,0.548192771084337,0,0.548192771084337,0.707692307692308
sp06_car_5dB,sp06,evaluation,car,5,unprocessed,4.36801565122684,4.36801565122684,0,0.75883701380632,NaN,4.09438094880982,0.406341552734375,NaN,NaN,NaN,NaN
sp06_car_5dB,sp06,evaluation,car,5,fixed,4.36801565122684,8.43148997386275,4.06347432263591,0.737871748506931,0.021661,4.09438094880982,0.392237923195988,0.132530120481928,0.0172413793103448,0,0
sp06_car_5dB,sp06,evaluation,car,5,vad,4.36801565122684,8.71336213974866,4.34534648852182,0.733275756905753,0.019374,4.09438094880982,0.39091114180053,0.13855421686747,0.0172413793103448,0.13855421686747,0.426923076923077
sp06_car_10dB,sp06,evaluation,car,10,unprocessed,10.0413093411183,10.0413093411183,0,0.883954633275676,NaN,3.58719867503223,0.402618408203125,NaN,NaN,NaN,NaN
sp06_car_10dB,sp06,evaluation,car,10,fixed,10.0413093411183,10.9188240057383,0.877514664620019,0.842263725235036,0.022362,3.58719867503223,0.397910757664373,0.536144578313253,0,0,0
sp06_car_10dB,sp06,evaluation,car,10,vad,10.0413093411183,12.9459073763317,2.90459803521339,0.858222843445447,0.022259,3.58719867503223,0.405384340854546,0.174698795180723,0.172413793103448,0.174698795180723,0.423076923076923
sp06_car_15dB,sp06,evaluation,car,15,unprocessed,14.4159141758335,14.4159141758335,0,0.939020258564431,NaN,2.18906748107621,0.383697509765625,NaN,NaN,NaN,NaN
sp06_car_15dB,sp06,evaluation,car,15,fixed,14.4159141758335,18.1608702288322,3.74495605299863,0.941671773258105,0.018621,2.18906748107621,0.383933177515352,0.0542168674698795,0.172413793103448,0,0
sp06_car_15dB,sp06,evaluation,car,15,vad,14.4159141758335,17.8903472652634,3.47443308942992,0.929274291390272,0.01811,2.18906748107621,0.388829651649577,0.0481927710843374,0.155172413793103,0.0481927710843374,0.311538461538462
sp06_street_0dB,sp06,evaluation,street,0,unprocessed,-0.50612016841428,-0.50612016841428,0,0.731105536157275,NaN,10.1130638712974,0.495452880859375,NaN,NaN,NaN,NaN
sp06_street_0dB,sp06,evaluation,street,0,fixed,-0.50612016841428,4.81533067784788,5.32145084626216,0.718503403351928,0.018229,10.1130638712974,0.385056590647163,0.620481927710843,0.155172413793103,0,0
sp06_street_0dB,sp06,evaluation,street,0,vad,-0.50612016841428,5.09531764001301,5.60143780842729,0.71654295483624,0.017955,10.1130638712974,0.391510452452592,0.506024096385542,0.155172413793103,0.506024096385542,0.65
sp06_street_5dB,sp06,evaluation,street,5,unprocessed,4.37277948354857,4.37277948354857,0,0.750488375942657,NaN,3.47471859496131,0.412994384765625,NaN,NaN,NaN,NaN
sp06_street_5dB,sp06,evaluation,street,5,fixed,4.37277948354857,9.79343659900248,5.42065711545391,0.750126072069098,0.018671,3.47471859496131,0.419259039037197,0.162650602409639,0.327586206896552,0,0
sp06_street_5dB,sp06,evaluation,street,5,vad,4.37277948354857,9.8973570348663,5.52457755131774,0.740498841340269,0.01791,3.47471859496131,0.416304340954047,0.253012048192771,0.189655172413793,0.253012048192771,0.457692307692308
sp06_street_10dB,sp06,evaluation,street,10,unprocessed,9.57584081988275,9.57584081988275,0,0.909775194497073,NaN,8.39718269935331,0.40130615234375,NaN,NaN,NaN,NaN
sp06_street_10dB,sp06,evaluation,street,10,fixed,9.57584081988275,13.2045353976877,3.62869457780492,0.901173315147726,0.022135,8.39718269935331,0.405871447578259,0.22289156626506,0.137931034482759,0,0
sp06_street_10dB,sp06,evaluation,street,10,vad,9.57584081988275,12.8314247432056,3.25558392332281,0.895219033342749,0.021799,8.39718269935331,0.407999657086689,0.120481927710843,0.241379310344828,0.120481927710843,0.284615384615385
sp06_street_15dB,sp06,evaluation,street,15,unprocessed,14.4615684057165,14.4615684057165,0,0.9347073961472,NaN,2.76853113626732,0.38421630859375,NaN,NaN,NaN,NaN
sp06_street_15dB,sp06,evaluation,street,15,fixed,14.4615684057165,17.2015911455176,2.74002273980108,0.927073313488263,0.022271,2.76853113626732,0.400904387902433,0.0843373493975904,0.137931034482759,0,0
sp06_street_15dB,sp06,evaluation,street,15,vad,14.4615684057165,16.9933261583585,2.53175775264203,0.911601507457775,0.022182,2.76853113626732,0.409791194671258,0.0843373493975904,0.120689655172414,0.0843373493975904,0.361538461538462
sp11_car_0dB,sp11,evaluation,car,0,unprocessed,-0.454379165977424,-0.454379165977424,0,0.501194153245333,NaN,4.5795383970228,0.650146484375,NaN,NaN,NaN,NaN
sp11_car_0dB,sp11,evaluation,car,0,fixed,-0.454379165977424,3.87318680456957,4.327565970547,0.495457383415261,0.022772,4.5795383970228,0.534071013521467,0.397058823529412,0.0689655172413793,0,0
sp11_car_0dB,sp11,evaluation,car,0,vad,-0.454379165977424,4.39066555430025,4.84504472027768,0.49177812892384,0.018767,4.5795383970228,0.524539277493928,0.397058823529412,0.0517241379310345,0.397058823529412,0.535714285714286
sp11_car_5dB,sp11,evaluation,car,5,unprocessed,4.59023044925638,4.59023044925638,0,0.692405282691509,NaN,2.65145400910016,0.51904296875,NaN,NaN,NaN,NaN
sp11_car_5dB,sp11,evaluation,car,5,fixed,4.59023044925638,9.92242895324208,5.3321985039857,0.729649089777122,0.018895,2.65145400910016,0.54899637608565,0.313725490196078,0.0172413793103448,0,0
sp11_car_5dB,sp11,evaluation,car,5,vad,4.59023044925638,9.18389424946689,4.59366380021051,0.694453546689959,0.018782,2.65145400910016,0.541974352702089,0.284313725490196,0.206896551724138,0.284313725490196,0.421428571428571
sp11_car_10dB,sp11,evaluation,car,10,unprocessed,10.1577273723677,10.1577273723677,0,0.82492653766235,NaN,3.39208720003406,0.533294677734375,NaN,NaN,NaN,NaN
sp11_car_10dB,sp11,evaluation,car,10,fixed,10.1577273723677,11.5582175101056,1.40049013773786,0.808839557169111,0.022923,3.39208720003406,0.549879087230539,0.387254901960784,0.0172413793103448,0,0
sp11_car_10dB,sp11,evaluation,car,10,vad,10.1577273723677,12.4957891746097,2.33806180224201,0.802492227538325,0.023078,3.39208720003406,0.552949685122364,0.196078431372549,0.0517241379310345,0.196078431372549,0.389285714285714
sp11_car_15dB,sp11,evaluation,car,15,unprocessed,14.5039171112223,14.5039171112223,0,0.892763377551819,NaN,4.14095173909433,0.546600341796875,NaN,NaN,NaN,NaN
sp11_car_15dB,sp11,evaluation,car,15,fixed,14.5039171112223,16.6419333482641,2.13801623704177,0.902412734570075,0.023131,4.14095173909433,0.562427925447387,0.00490196078431373,0.775862068965517,0,0
sp11_car_15dB,sp11,evaluation,car,15,vad,14.5039171112223,16.9958310127891,2.49191390156679,0.898277247934569,0.023087,4.14095173909433,0.563526067065095,0.00490196078431373,0.620689655172414,0.00490196078431373,0.107142857142857
sp11_street_0dB,sp11,evaluation,street,0,unprocessed,-0.525984332174058,-0.525984332174058,0,0.607479179274173,NaN,8.84417849436816,0.648162841796875,NaN,NaN,NaN,NaN
sp11_street_0dB,sp11,evaluation,street,0,fixed,-0.525984332174058,3.50060884710865,4.0265931792827,0.612089786064746,0.019296,8.84417849436816,0.566490317602392,0.137254901960784,0.46551724137931,0,0
sp11_street_0dB,sp11,evaluation,street,0,vad,-0.525984332174058,2.44663690233911,2.97262123451317,0.601479969982506,0.018853,8.84417849436816,0.5628897770328,0.122549019607843,0.551724137931034,0.122549019607843,0.214285714285714
sp11_street_5dB,sp11,evaluation,street,5,unprocessed,5.1717345196367,5.1717345196367,0,0.726176716700001,NaN,10.190468773144,0.60198974609375,NaN,NaN,NaN,NaN
sp11_street_5dB,sp11,evaluation,street,5,fixed,5.1717345196367,6.00234137070851,0.830606851071815,0.69009350638897,0.018353,10.190468773144,0.520242906825068,0.764705882352941,0,0,0
sp11_street_5dB,sp11,evaluation,street,5,vad,5.1717345196367,6.89925427946908,1.72751975983238,0.690168515709634,0.018454,10.190468773144,0.500313037526059,0.441176470588235,0.0172413793103448,0.441176470588235,0.575
sp11_street_10dB,sp11,evaluation,street,10,unprocessed,10.4199527828941,10.4199527828941,0,0.884410975266737,NaN,12.397943626405,0.590301513671875,NaN,NaN,NaN,NaN
sp11_street_10dB,sp11,evaluation,street,10,fixed,10.4199527828941,9.53695801809568,-0.882994764798433,0.805702843340827,0.022761,12.397943626405,0.568987294368425,0.509803921568627,0,0,0
sp11_street_10dB,sp11,evaluation,street,10,vad,10.4199527828941,10.3023626425159,-0.117590140378171,0.816769830056691,0.022932,12.397943626405,0.561701334355589,0.28921568627451,0.0517241379310345,0.28921568627451,0.457142857142857
sp11_street_15dB,sp11,evaluation,street,15,unprocessed,14.6914730038145,14.6914730038145,0,0.885346165692274,NaN,5.04753448819567,0.541717529296875,NaN,NaN,NaN,NaN
sp11_street_15dB,sp11,evaluation,street,15,fixed,14.6914730038145,15.6737498182388,0.982276814424363,0.869176599045693,0.023136,5.04753448819567,0.558164836203244,0.053921568627451,0.120689655172414,0,0
sp11_street_15dB,sp11,evaluation,street,15,vad,14.6914730038145,15.7724679477289,1.08099494391449,0.86566809521135,0.022969,5.04753448819567,0.559349505928408,0.0294117647058824,0.189655172413793,0.0294117647058824,0.239285714285714
sp16_car_0dB,sp16,development,car,0,unprocessed,-0.953908968127132,-0.953908968127132,0,0.729774950548865,NaN,2.29719143613599,0.643524169921875,NaN,NaN,NaN,NaN
sp16_car_0dB,sp16,development,car,0,fixed,-0.953908968127132,7.43086090250803,8.38476987063516,0.747918330899979,0.019767,2.29719143613599,0.535597211424865,0.418181818181818,0.0512820512820513,0,0
sp16_car_0dB,sp16,development,car,0,vad,-0.953908968127132,6.9702174599545,7.92412642808163,0.724601409582833,0.019345,2.29719143613599,0.498743230563735,0.427272727272727,0.0512820512820513,0.427272727272727,0.65
sp16_car_5dB,sp16,development,car,5,unprocessed,4.08194728268921,4.08194728268921,0,0.800810219011142,NaN,2.13664499525584,0.60357666015625,NaN,NaN,NaN,NaN
sp16_car_5dB,sp16,development,car,5,fixed,4.08194728268921,10.9510742805944,6.86912699790522,0.821291882643933,0.01618,2.13664499525584,0.573384481829681,0.318181818181818,0.0512820512820513,0,0
sp16_car_5dB,sp16,development,car,5,vad,4.08194728268921,10.7757524861906,6.69380520350134,0.794817390613186,0.015843,2.13664499525584,0.546827891902612,0.363636363636364,0.0512820512820513,0.363636363636364,0.622727272727273
sp16_car_10dB,sp16,development,car,10,unprocessed,9.01808881673246,9.01808881673246,0,0.862235732444629,NaN,5.40334864433068,0.59820556640625,NaN,NaN,NaN,NaN
sp16_car_10dB,sp16,development,car,10,fixed,9.01808881673246,12.9057847646532,3.88769594792076,0.887209475101394,0.019705,5.40334864433068,0.583321131679656,0.254545454545455,0.230769230769231,0,0
sp16_car_10dB,sp16,development,car,10,vad,9.01808881673246,12.9709823846721,3.95289356793959,0.877804676055034,0.019282,5.40334864433068,0.57302055425711,0.272727272727273,0.230769230769231,0.272727272727273,0.481818181818182
sp16_car_15dB,sp16,development,car,15,unprocessed,14.0527320208046,14.0527320208046,0,0.911167084534718,NaN,2.78063398628414,0.579833984375,NaN,NaN,NaN,NaN
sp16_car_15dB,sp16,development,car,15,fixed,14.0527320208046,18.8003714337108,4.74763941290623,0.948153002887626,0.019737,2.78063398628414,0.585262008663851,0.0454545454545455,0.346153846153846,0,0
sp16_car_15dB,sp16,development,car,15,vad,14.0527320208046,18.2974123229288,4.24468030212419,0.940981023749149,0.019445,2.78063398628414,0.583701470053868,0.0636363636363636,0.256410256410256,0.0636363636363636,0.372727272727273
sp16_street_0dB,sp16,development,street,0,unprocessed,-1.01480119671721,-1.01480119671721,0,0.731422077797398,NaN,4.86571930377723,0.891510009765625,NaN,NaN,NaN,NaN
sp16_street_0dB,sp16,development,street,0,fixed,-1.01480119671721,2.79980859108354,3.81460978780075,0.712722689934112,0.01638,4.86571930377723,0.736067031919121,0.2,0.512820512820513,0,0
